year2,state,fsize,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,01,a) 1 to 4,30012,30079,67672,65781,7401,25,6095,20.6,26157,18910,7247,28.7,39.8,22374,15370,7004,23.4,34,3783,5.8,68,1,4765,4768,
1977,01,b) 5 to 9,10473,10789,70344,69285,990,9.3,720,6.8,18247,9259,8988,13.4,26.3,16129,7982,8147,11.5,23.3,2118,3,46.6,0,518,525,6389
1977,01,c) 10 to 19,5568,6048,77053,75275,620,10.5,325,5.5,18391,8866,9525,11.8,24.4,14834,7036,7798,9.3,19.7,3557,4.7,39.4,0,214,214,5515
1977,01,d) 20 to 49,3254,4121,98631,96270,437,10.9,214,5.3,22176,9210,12966,9.6,23,17453,7488,9965,7.8,18.1,4723,4.9,36.2,0,93,98,5488
1977,01,e) 50 to 99,1080,1754,68189,66517,196,11.6,87,5.1,13852,5972,7880,9,20.8,10507,4254,6253,6.4,15.8,3345,5,31.6,0,21,21,2743
1977,01,f) 100 to 249,649,1506,72368,70784,229,16,82,5.7,14214,6162,8052,8.7,20.1,11045,4242,6803,6,15.6,3169,4.5,31.2,0,11,11,3029
1977,01,g) 250 to 499,293,841,49103,46776,95,11.6,50,6.1,10005,4037,5968,8.6,21.4,5350,904,4446,1.9,11.4,4655,10,22.8,0,,,
1977,01,h) 500 to 999,231,702,50864,49555,55,7.9,37,5.3,8596,4023,4573,8.1,17.3,5977,1874,4103,3.8,12.1,2619,5.2,24.2,1,1,4,
1977,01,i) 1000 to 2499,281,1663,67638,66998,155,9.6,76,4.7,8074,1659,6415,2.5,12.1,6793,1303,5490,1.9,10.1,1281,2,20.2,0,,,
1977,01,j) 2500 to 4999,199,974,50470,48604,104,11,45,4.8,6760,2064,4696,4.2,13.9,3027,490,2537,1,6.2,3733,7.7,12.4,0,,,
1977,01,k) 5000 to 9999,167,863,44895,44421,73,8.5,65,7.6,7074,3087,3987,6.9,15.9,6125,1288,4837,2.9,13.8,949,2.1,27.6,0,,,
1977,01,l) 10000+,345,3512,240070,233648,279,8,261,7.5,37976,16620,21356,7.1,16.3,25132,6660,18472,2.9,10.8,12844,5.5,21.6,0,,,
1977,02,a) 1 to 4,3453,3485,8529,8320,1283,37.1,1181,34.2,4530,3506,1024,42.1,54.4,4111,3225,886,38.8,49.4,419,5,98.8,1,853,853,
1977,02,b) 5 to 9,1342,1412,9445,9205,247,18,156,11.4,3719,2207,1512,24,40.4,3238,1875,1363,20.4,35.2,481,5.2,70.4,0,109,110,1374
1977,02,c) 10 to 19,737,802,10349,10257,117,14.9,80,10.2,3466,1732,1734,16.9,33.8,3281,1750,1531,17.1,32,185,1.8,64,0,50,53,1303
1977,02,d) 20 to 49,432,530,13201,12862,72,13.9,45,8.7,4465,2414,2051,18.8,34.7,3787,1629,2158,12.7,29.4,678,5.3,58.8,0,19,19,1026
1977,02,e) 50 to 99,151,270,9625,9185,73,30,21,8.6,3484,2328,1156,25.3,37.9,2603,1067,1536,11.6,28.3,881,9.6,56.6,0,3,3,404
1977,02,f) 100 to 249,103,266,11989,10398,66,27.7,11,4.6,5111,3046,2065,29.3,49.2,1928,479,1449,4.6,18.5,3183,30.7,37,1,1,1,
1977,02,g) 250 to 499,40,169,6166,5885,29,18.4,6,3.8,1341,464,877,7.9,22.8,778,,746,,13.2,563,9.6,26.4,1,,,
1977,02,h) 500 to 999,38,170,8811,8451,39,24.5,17,10.7,3792,,,,44.9,3072,1466,1606,17.3,36.4,720,8.5,72.8,1,,,
1977,02,i) 1000 to 2499,45,134,7541,9358,34,27.1,17,13.5,1595,658,937,7,17,5228,317,4911,3.4,55.9,-3633,-38.9,34,0,,,
1977,02,j) 2500 to 4999,39,93,1942,2196,10,11.2,3,3.4,342,93,249,4.2,15.6,850,148,702,6.7,38.7,-508,-23.1,31.2,0,,,
1977,02,k) 5000 to 9999,37,80,4240,7089,13,17,6,7.8,1605,,,,22.6,7302,,6986,,103,-5697,-80.4,45.2,1,,,
1977,02,l) 10000+,112,314,15326,14932,45,14.9,21,7,4095,655,3440,4.4,27.4,3307,1200,2107,8,22.1,788,5.3,44.2,0,,,
1977,04,a) 1 to 4,20697,20796,48486,45500,6382,32,4540,22.8,22391,16672,5719,36.6,49.2,16419,11700,4719,25.7,36.1,5972,13.1,72.2,1,3574,3578,
1977,04,b) 5 to 9,7315,7627,51291,48959,1052,14.2,616,8.3,17271,9578,7693,19.6,35.3,12607,6973,5634,14.2,25.8,4664,9.5,51.6,0,462,471,5680
1977,04,c) 10 to 19,4007,4439,57335,54441,647,15.2,299,7,17580,9127,8453,16.8,32.3,11791,5984,5807,11,21.7,5789,10.6,43.4,0,188,194,4895
1977,04,d) 20 to 49,2150,2808,64890,63896,349,12.7,213,7.8,16534,7223,9311,11.3,25.9,14546,7173,7373,11.2,22.8,1988,3.1,45.6,0,86,91,4918
1977,04,e) 50 to 99,726,1132,44226,42619,153,14.1,63,5.8,10547,4233,6314,9.9,24.7,7332,3505,3827,8.2,17.2,3215,7.5,34.4,0,15,15,2355
1977,04,f) 100 to 249,426,825,41448,39340,111,14,50,6.3,10617,5978,4639,15.2,27,6401,2849,3552,7.2,16.3,4216,10.7,32.6,0,6,6,1378
1977,04,g) 250 to 499,210,544,23214,21255,77,14,86,15.7,6357,3185,3172,15,29.9,2439,835,1604,3.9,11.5,3918,18.4,23,0,,,
1977,04,h) 500 to 999,189,698,23033,22198,83,12.2,47,6.9,4285,1740,2545,7.8,19.3,2615,1063,1552,4.8,11.8,1670,7.5,23.6,1,1,2,
