Time,Time Code,Country Name,Country Code,GDP per capita (current US$) [NY.GDP.PCAP.CD]
1960,YR1960,Japan,JPN,478.995340162869
1960,YR1960,United States,USA,3007.12344537862
1961,YR1961,Japan,JPN,563.586759838827
1961,YR1961,United States,USA,3066.56286916615
1962,YR1962,Japan,JPN,633.640315173776
1962,YR1962,United States,USA,3243.84307754988
1963,YR1963,Japan,JPN,717.866915230894
1963,YR1963,United States,USA,3374.51517105082
1964,YR1964,Japan,JPN,835.657252484116
1964,YR1964,United States,USA,3573.94118474743
1965,YR1965,Japan,JPN,919.776688184802
1965,YR1965,United States,USA,3827.52710972039
1966,YR1966,Japan,JPN,1058.50356090902
1966,YR1966,United States,USA,4146.31664631665
1967,YR1967,Japan,JPN,1228.9092104006
1967,YR1967,United States,USA,4336.42658722171
1968,YR1968,Japan,JPN,1450.61965234374
1968,YR1968,United States,USA,4695.92339043178
1969,YR1969,Japan,JPN,1669.09819990781
1969,YR1969,United States,USA,5032.14474262003
1970,YR1970,Japan,JPN,2037.55990148865
1970,YR1970,United States,USA,5246.88371730098
1971,YR1971,Japan,JPN,2272.07780220778
1971,YR1971,United States,USA,5623.44397840712
1972,YR1972,Japan,JPN,2967.04199623728
1972,YR1972,United States,USA,6109.92586804894
1973,YR1973,Japan,JPN,3997.84112039422
1973,YR1973,United States,USA,6741.33236436395
1974,YR1974,Japan,JPN,4353.82435517488
1974,YR1974,United States,USA,7242.44110467889
1975,YR1975,Japan,JPN,4659.12011498931
1975,YR1975,United States,USA,7820.06547114686
1976,YR1976,Japan,JPN,5197.80669676619
1976,YR1976,United States,USA,8611.40183915427
1977,YR1977,Japan,JPN,6335.78762668458
1977,YR1977,United States,USA,9471.3061719314
1978,YR1978,Japan,JPN,8821.84349179091
1978,YR1978,United States,USA,10587.2857560033
1979,YR1979,Japan,JPN,9105.13609673044
1979,YR1979,United States,USA,11695.5544200307
1980,YR1980,Japan,JPN,9465.3797140302
1980,YR1980,United States,USA,12597.6675101771
1981,YR1981,Japan,JPN,10361.3230580189
1981,YR1981,United States,USA,13993.166743657
1982,YR1982,Japan,JPN,9578.11380327871
1982,YR1982,United States,USA,14438.9762759859
1983,YR1983,Japan,JPN,10425.4068209429
1983,YR1983,United States,USA,15561.4263961128
1984,YR1984,Japan,JPN,10984.8658284904
1984,YR1984,United States,USA,17134.2860171738
1985,YR1985,Japan,JPN,11584.6493269017
1985,YR1985,United States,USA,18269.4221684235
1986,YR1986,Japan,JPN,17111.8537325384
1986,YR1986,United States,USA,19115.05290818
1987,YR1987,Japan,JPN,20745.2520919399
1987,YR1987,United States,USA,20100.8588916542
1988,YR1988,Japan,JPN,25051.8543154389
1988,YR1988,United States,USA,21483.2330602579
1989,YR1989,Japan,JPN,24813.2993783357
1989,YR1989,United States,USA,22922.4370895271
1990,YR1990,Japan,JPN,25359.34702031
1990,YR1990,United States,USA,23954.4793548671
1991,YR1991,Japan,JPN,28925.0415756881
1991,YR1991,United States,USA,24405.1648147489
1992,YR1992,Japan,JPN,31464.549046228
1992,YR1992,United States,USA,25492.9516517617
1993,YR1993,Japan,JPN,35765.9140886748
1993,YR1993,United States,USA,26464.852511744
1994,YR1994,Japan,JPN,39268.5668686204
1994,YR1994,United States,USA,27776.635528226
1995,YR1995,Japan,JPN,43440.3678678967
1995,YR1995,United States,USA,28782.1750200918
1996,YR1996,Japan,JPN,38436.9263119118
1996,YR1996,United States,USA,30068.2309182833
1997,YR1997,Japan,JPN,35021.7190917159
1997,YR1997,United States,USA,31572.6902298492
1998,YR1998,Japan,JPN,31902.7670955137
1998,YR1998,United States,USA,32949.1977640346
1999,YR1999,Japan,JPN,36026.5560750168
1999,YR1999,United States,USA,34620.9288990826
2000,YR2000,Japan,JPN,38532.0408752935
2000,YR2000,United States,USA,36449.8551155349
2001,YR2001,Japan,JPN,33846.4656414342
2001,YR2001,United States,USA,37273.6181034176
2002,YR2002,Japan,JPN,32289.3505360726
2002,YR2002,United States,USA,38166.0378407812
2003,YR2003,Japan,JPN,34808.3909176613
2003,YR2003,United States,USA,39677.1983481058
2004,YR2004,Japan,JPN,37688.7223359406
2004,YR2004,United States,USA,41921.8097617892
2005,YR2005,Japan,JPN,37217.648727917
2005,YR2005,United States,USA,44307.9205848603
2006,YR2006,Japan,JPN,35433.988963743
2006,YR2006,United States,USA,46437.0671173065
2007,YR2007,Japan,JPN,35275.2284312667
2007,YR2007,United States,USA,48061.5376613353
2008,YR2008,Japan,JPN,39339.2975731826
2008,YR2008,United States,USA,48401.4273403899
2009,YR2009,Japan,JPN,40855.1756354596
2009,YR2009,United States,USA,47001.5553496818
2010,YR2010,Japan,JPN,44507.6763859172
2010,YR2010,United States,USA,48375.4069462972
2011,YR2011,Japan,JPN,48167.9972684965
2011,YR2011,United States,USA,49793.7135249201
2012,YR2012,Japan,JPN,48603.4766497749
2012,YR2012,United States,USA,51450.9591148182
2013,YR2013,Japan,JPN,40454.4474578903
2013,YR2013,United States,USA,52782.086508871
2014,YR2014,Japan,JPN,38109.4121125573
2014,YR2014,United States,USA,54696.7261652327
2015,YR2015,Japan,JPN,34567.7456750995
2015,YR2015,United States,USA,56443.8172422582
2016,YR2016,Japan,JPN,38972.3406391468
2016,YR2016,United States,USA,57588.538070583
2017,YR2017,Japan,JPN,38428.0973168279
2017,YR2017,United States,USA,59531.661964344
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 07/25/2018,,,,
